EventID,MatchID,PlayerID,EventType,Minute
1,1108,817,Substitution,33
2,392,509,Offside,62
3,2040,606,Offside,13
4,1073,164,Substitution,84
5,312,250,Offside,19
6,1950,877,Offside,12
7,1198,815,Offside,25
8,1830,859,Offside,35
9,287,568,Injury,4
10,528,142,Yellow Card,38
11,73,425,Substitution,25
12,1491,578,Yellow Card,28
13,169,353,Substitution,82
14,1466,865,Substitution,25
15,1417,715,Red Card,32
16,296,640,Red Card,35
17,2069,658,Offside,89
18,628,625,Offside,5
19,1808,463,Offside,88
20,2026,684,Offside,56
21,2,536,Yellow Card,75
22,1911,371,Offside,55
23,1647,669,Offside,32
24,2214,688,Red Card,20
25,2401,641,Injury,81
26,2483,175,Yellow Card,26
27,993,312,Yellow Card,18
28,1807,596,Yellow Card,23
29,1093,318,Substitution,30
30,1301,633,Yellow Card,85
31,1193,243,Yellow Card,85
32,1359,195,Red Card,57
33,1577,573,Red Card,10
34,1381,260,Injury,69
35,2223,24,Substitution,13
36,1147,89,Offside,20
37,680,805,Substitution,4
38,1834,682,Yellow Card,36
39,2276,321,Substitution,68
40,1737,552,Injury,31
41,1155,548,Red Card,78
42,818,514,Offside,34
43,2110,491,Yellow Card,60
44,2481,523,Injury,83
45,1454,771,Offside,61
46,1163,240,Red Card,57
47,1886,651,Yellow Card,61
48,935,545,Substitution,48
49,2289,408,Substitution,80
50,1090,742,Red Card,84
51,1018,332,Substitution,73
52,1288,914,Offside,85
53,783,775,Substitution,73
54,441,668,Yellow Card,14
55,1956,299,Injury,80
56,29,289,Offside,75
57,773,210,Substitution,8
58,1523,798,Red Card,88
59,26,572,Red Card,73
60,2247,14,Offside,21
61,2312,838,Red Card,60
62,2284,521,Yellow Card,1
63,39,842,Substitution,64
64,128,342,Injury,63
65,819,541,Substitution,65
66,1080,103,Injury,41
67,2132,232,Offside,75
68,473,379,Substitution,37
69,2221,830,Yellow Card,27
70,613,326,Offside,46
71,1847,37,Injury,37
72,438,329,Red Card,71
73,1361,627,Yellow Card,20
74,2249,183,Offside,19
75,2046,495,Offside,29
76,2220,640,Injury,10
77,1018,792,Red Card,81
78,1577,341,Substitution,66
79,1301,356,Offside,85
80,2268,272,Injury,39
81,1493,695,Red Card,88
82,607,226,Offside,43
83,2353,511,Offside,89
84,2345,32,Substitution,4
85,903,849,Substitution,1
86,514,511,Red Card,83
87,1486,500,Injury,63
88,148,314,Injury,10
89,708,724,Injury,16
90,2305,456,Red Card,11
91,1551,44,Offside,76
92,370,633,Injury,34
93,924,29,Red Card,19
94,310,134,Offside,26
95,223,10,Substitution,5
96,70,495,Injury,7
97,546,877,Substitution,63
98,2085,437,Yellow Card,79
99,1,72,Offside,58
100,1667,349,Injury,16
101,2064,467,Substitution,61
102,190,196,Yellow Card,16
103,1719,615,Yellow Card,34
104,664,743,Substitution,36
105,1896,593,Yellow Card,54
106,2331,622,Offside,54
107,1009,885,Yellow Card,19
108,123,270,Substitution,31
109,460,611,Substitution,71
110,1918,765,Injury,8
111,773,516,Red Card,73
112,488,282,Injury,73
113,1328,101,Substitution,9
114,1458,21,Injury,8
