GoalID,MatchID,PlayerID,TeamID,Minute
1,583,325,1,39
2,2356,327,20,86
3,165,182,13,8
4,164,432,27,87
5,1364,80,15,45
6,2499,210,5,14
7,618,361,28,21
8,1461,705,23,61
9,1207,643,38,37
10,2029,288,3,66
11,2087,88,14,25
12,1516,130,36,59
13,1222,550,19,55
14,1322,475,14,67
15,1428,590,3,20
16,2312,696,9,70
17,2076,834,30,56
18,1044,575,17,57
19,178,171,17,29
20,994,402,20,10
21,2206,111,20,79
22,2438,882,31,19
23,1902,649,15,26
24,797,593,12,7
25,2222,593,23,72
26,1754,590,30,90
27,2398,788,18,42
28,264,19,15,13
29,1319,342,38,42
30,1504,477,2,37
31,498,653,13,69
32,272,303,34,70
33,211,127,1,13
34,1221,306,1,50
35,667,809,16,78
36,1978,64,3,45
37,970,43,37,40
38,2050,706,4,61
39,1566,908,23,43
40,1720,95,2,38
41,2321,92,27,77
42,41,171,35,16
43,321,634,19,12
44,554,35,40,37
45,156,43,26,87
46,2160,109,18,14
47,691,723,30,59
48,1133,583,21,45
49,180,772,34,10
50,1809,575,31,36
51,1165,82,26,43
52,1702,498,29,13
53,332,352,16,51
54,2450,451,23,36
55,367,797,15,34
56,1448,499,13,72
57,514,365,28,46
58,1776,344,33,32
59,1127,521,35,88
60,1326,845,10,14
61,1345,50,8,81
62,972,179,14,86
63,1879,441,30,52
64,1175,624,17,35
65,1108,702,36,75
66,312,29,9,47
67,2368,589,27,20
68,2032,425,36,88
69,1593,343,24,62
70,2339,246,38,8
71,238,591,39,31
72,1820,232,12,48
73,784,633,35,14
74,887,593,19,83
75,1053,601,21,65
76,1198,385,17,13
77,1866,501,27,51
78,1858,795,3,4
79,1155,494,22,39
80,1741,198,32,39
81,786,478,16,75
82,1137,84,8,85
83,1101,59,7,61
84,269,498,13,40
85,2170,175,17,49
86,2112,130,7,52
87,177,746,6,32
88,1471,419,31,63
89,2215,885,26,30
90,561,294,4,75
91,2469,86,38,43
92,758,444,39,5
93,1331,716,5,11
94,1306,903,40,37
95,2258,541,18,2
96,2380,460,36,17
97,2480,455,15,1
98,759,133,28,24
99,310,397,21,70
100,414,489,18,59
101,55,730,32,83
102,2346,604,7,7
103,750,103,30,34
104,2026,49,19,26
105,1677,903,8,10
106,479,314,6,6
107,1548,269,40,32
108,981,248,10,72
109,599,839,9,74
110,1267,519,25,55
111,1405,343,9,52
112,613,87,11,75
113,2000,186,14,47
114,315,649,24,76
115,2321,839,16,80
116,738,747,7,62
117,2387,741,35,10
118,559,293,24,4
119,1589,445,28,63
120,1988,730,34,8
121,946,435,26,6
122,255,458,13,10
123,2044,460,38,5
124,1960,810,31,20
125,694,830,35,28
126,408,405,20,7
127,1528,351,7,20
128,1414,142,17,18
129,1737,479,8,3
130,1192,58,28,12
131,1619,310,15,35
132,2035,718,37,37
133,1036,745,18,46
134,1471,508,20,73
135,2237,412,22,16
136,2451,310,35,38
137,546,442,2,82
138,1238,615,34,64
139,2092,257,7,3
140,2442,517,24,24
141,2157,443,18,48
142,1677,647,4,24
