StatID,MatchID,PlayerID,MinutesPlayed,Goals,Assists,PassAccuracy,ShotsOnTarget
1,2096,263,12,3,2,67,5
2,918,134,61,5,3,98,0
3,2392,726,19,4,2,96,1
4,1232,606,24,4,3,86,5
5,1684,722,47,0,3,78,2
6,2260,18,46,4,2,100,5
7,2283,611,64,1,3,88,4
8,1905,702,71,2,1,97,1
9,143,275,77,0,0,57,2
10,1950,133,71,2,3,64,3
11,1830,670,79,4,0,81,5
12,773,513,55,3,2,83,4
13,227,60,6,0,3,71,2
14,1818,607,15,2,1,85,2
15,463,74,4,2,3,86,4
16,1794,281,82,1,0,59,5
17,1617,11,13,1,1,100,0
18,1721,707,48,2,1,59,0
19,2298,604,19,0,2,77,0
20,436,833,78,5,3,70,4
21,1774,758,45,0,3,97,2
22,1112,97,82,2,0,85,2
23,387,721,16,4,3,80,4
24,609,807,80,1,3,67,1
25,1178,731,43,1,0,51,1
26,131,194,42,2,1,50,1
27,6,285,64,2,1,92,4
28,2370,481,47,3,3,61,3
29,48,531,62,4,2,65,0
30,496,106,41,0,2,60,2
31,1286,775,15,3,1,82,3
32,2222,781,79,0,1,86,2
33,1800,577,78,1,3,99,1
34,1129,15,90,3,2,68,3
35,1196,605,16,4,1,71,0
36,1389,178,83,3,3,99,5
37,2225,396,12,0,2,95,2
38,2342,262,70,0,1,73,0
39,120,234,82,1,0,93,2
40,1064,725,71,5,2,78,3
41,799,317,19,0,2,77,1
42,1468,859,44,0,1,56,2
43,284,742,32,2,0,53,1
44,2208,436,65,3,3,56,3
45,2227,442,60,5,3,95,0
46,1293,349,51,1,2,78,3
47,2468,381,49,5,3,86,4
48,2219,209,68,0,3,88,5
49,1748,476,66,1,1,69,5
50,2330,375,65,1,1,63,2
51,869,202,41,5,1,53,0
52,2087,358,58,5,3,99,1
53,2313,92,58,3,0,50,1
54,944,500,16,4,0,57,0
55,404,99,27,2,0,80,1
56,654,48,65,4,1,93,2
57,1559,6,20,2,0,78,2
58,483,835,69,2,1,97,5
59,776,22,26,3,3,65,1
60,2075,451,24,1,0,54,2
61,2288,565,68,5,0,60,4
62,2257,16,25,2,0,89,0
63,2234,726,25,1,0,58,4
64,1154,904,78,1,1,68,2
65,1867,823,39,0,1,94,4
66,269,580,86,4,3,95,1
67,165,133,5,0,2,92,5
68,2095,882,12,4,1,73,4
69,663,874,69,4,1,60,5
70,271,731,48,1,3,98,2
71,370,522,45,3,2,58,2
72,969,806,44,1,0,80,3
73,467,721,50,3,1,70,1
74,1268,70,44,1,3,72,4
75,1428,881,86,4,1,53,3
76,1304,366,70,2,1,99,4
77,2090,836,63,5,1,56,4
78,234,456,9,2,1,56,0
79,710,788,42,3,0,79,2
80,693,167,14,5,0,99,3
81,633,884,60,0,1,53,3
