TeamStatID,MatchID,TeamID,Possession,Shots,ShotsOnTarget,Fouls
1,1,29,47.6,10,1,11
2,1,10,49.9,16,4,13
3,2,34,40.9,16,4,10
4,2,26,53.7,5,3,14
5,3,15,44.5,8,2,13
6,3,13,56.8,8,8,14
7,4,10,47.6,19,6,12
8,4,35,58.4,12,2,15
9,5,20,45.3,20,2,7
10,5,6,52.3,12,1,12
11,6,5,49.1,18,5,15
12,6,5,47.2,18,10,8
13,7,39,48.1,8,8,10
14,7,33,59.7,10,0,10
15,8,11,50.1,10,3,6
16,8,21,55.4,14,10,14
17,9,3,41.2,18,5,6
18,9,31,44.0,9,4,8
19,10,40,58.9,6,9,9
20,10,30,54.8,9,9,8
21,11,17,43.9,18,0,5
22,11,23,45.1,5,3,8
23,12,38,48.0,8,4,8
24,12,17,54.7,20,10,6
25,13,2,58.5,15,10,6
26,13,37,54.9,10,2,11
27,14,26,44.6,16,9,11
28,14,14,52.9,9,2,6
29,15,30,43.4,5,5,7
30,15,6,40.0,5,4,5
31,16,4,52.2,6,5,13
32,16,24,52.5,11,0,12
33,17,37,55.1,11,6,12
34,17,29,41.4,20,1,13
35,18,23,41.6,20,0,13
36,18,16,43.5,9,4,15
37,19,3,55.0,11,0,8
38,19,14,52.1,5,10,7
39,20,15,59.3,9,7,10
40,20,23,41.3,12,6,6
41,21,6,53.4,10,7,13
42,21,18,59.8,19,3,5
43,22,13,53.6,12,1,6
44,22,2,41.8,13,10,8
45,23,32,44.8,6,10,14
46,23,12,54.9,11,2,13
47,24,31,44.7,18,9,15
48,24,32,48.4,14,2,15
49,25,10,54.0,8,2,8
50,25,28,46.0,19,3,14
51,26,31,60.9,9,10,13
52,26,30,57.7,10,4,10
53,27,11,42.4,19,8,7
54,27,29,47.1,7,5,10
55,28,18,60.3,10,6,7
56,28,10,44.0,6,8,5
57,29,30,47.8,8,2,10
58,29,13,44.0,5,3,14
59,30,39,53.2,20,3,11
60,30,23,53.7,18,3,11
61,31,35,45.8,10,8,5
62,31,4,46.9,8,3,12
63,32,38,50.6,16,2,9
64,32,37,41.5,8,9,10
65,33,9,44.8,17,6,13
66,33,34,59.0,7,8,8
67,34,1,52.6,19,9,11
68,34,18,44.1,7,3,6
69,35,11,53.0,17,10,14
70,35,9,46.0,6,1,9
71,36,20,59.9,6,3,12
72,36,6,46.9,8,2,8
73,37,17,53.5,14,6,15
74,37,23,56.3,20,10,9
75,38,40,46.5,18,3,9
76,38,15,53.5,15,8,13
77,39,1,56.2,14,9,8
78,39,31,56.8,19,4,12
79,40,8,47.1,15,1,7
80,40,19,50.2,13,10,14
81,41,30,51.6,12,9,5
82,41,2,43.5,13,1,8
