TeamID,TeamName,CoachName,Country,FoundedYear
1,Fitzgerald PLC,Mr. James Mcbride DDS,Spain,1891
2,Lane and Sons,Jennifer Mccarthy,Spain,1986
3,Bryant-Holland,Deborah Garcia,Spain,1944
4,"Thomas, Sandoval and Gibson",Brandon Molina,Spain,1965
5,White-Fry,William Gaines,Spain,1980
6,Prince PLC,Karen Casey,Spain,1939
7,"Miller, Carpenter and Adams",Sherry Schmidt,Spain,1921
8,Matthews Inc,Robert Hurley,Spain,2016
9,"Harris, Yu and Vance",Taylor Scott,Spain,1959
10,Walker Ltd,Laura Kent,Spain,1972
11,"Cain, Manning and Miller",Jennifer Shannon,Spain,1970
12,Cook and Sons,Shawn Buchanan,Spain,1891
13,"Williams, Burke and Moore",Sarah Wall,Spain,1921
14,Dunn-Rogers,Michael Nelson,Spain,1923
15,"Henry, Smith and Robinson",Dwayne Estrada,Spain,1998
16,Raymond-Reynolds,Cody Olson,Spain,1899
17,"Monroe, Dalton and Brooks",Scott Griffin,Spain,2015
18,"Payne, Kemp and Jordan",Timothy Castillo,Spain,1925
19,Castillo-Freeman,Barbara Simpson,Spain,1950
20,Mcgee Ltd,Dr. Spencer Huffman,Spain,1944
21,Rivera-Johnston,Amanda Williams,Italy,1925
22,"Dunn, Carter and Carr",Andrew Morgan,Italy,1922
23,"Graham, Sparks and Jennings",Brian Gordon,Italy,1894
24,Smith PLC,Nancy Simmons,Italy,1917
25,Jones and Sons,Justin Phillips,Italy,1954
26,Farmer and Sons,James Rivera,Italy,1961
27,"Schwartz, Harper and Brown",Matthew Robles,Italy,2023
28,Robertson-Barton,Pam Galvan,Italy,1927
29,Horn Ltd,Dawn Ramirez,Italy,1897
30,"Jones, Barton and Barrera",Victoria Huang,Italy,1999
31,Shelton-Wilson,Renee Meyer,Italy,1966
32,Fernandez-Williams,Ryan Floyd,Italy,2001
33,"Williams, Taylor and Chambers",Kevin Garcia,Italy,2004
34,Ashley and Sons,Zachary Watts,Italy,2015
35,"Carlson, Wright and Taylor",Linda Holloway,Italy,2023
36,Cunningham Ltd,Daniel Brown,Italy,1911
37,Bowen-Young,Mr. Joseph Merritt,Italy,1998
38,Bailey PLC,Hannah Marshall,Italy,2004
39,Beck-Adkins,Rachel Jones,Italy,2023
40,Cordova-Dorsey,Kristy Aguilar,Italy,1992
